rowname,LMK Key,Local authority code,Property Type,Transaction Type,Tenure,Walls Description,Roof Description,Walls Energy Efficiency,Roof Energy Efficiency,Main Heat Description,Main Heat Energy Efficiency,Main Heat Environmental Efficiency,Main Fuel,Solar Water Heating,Construction Age Band,Current Energy Rating,Potential Energy Rating,CO2 Emissions Current,CO2 Emissions Potential,CO2 EMissions Current per floor area,Number of Habitable Rooms,Number of Heated Rooms,Photovoltaic Supply,Total Floor Area,Building Refernce number,Built Form,LSOA Code,MSOA Code,Latitude,Longitude,Index of Multiple Deprivation,Number of Properties (LSOA),Owned (LSOA),Social Rented (LSOA),Private Rented (LSOA),Date,Year,Month,IMD Decile,Nominal Construction Date,Local Authority,geo_point_2d
1198,1408678319022016020217300562628986,E06000022,Park home,assessment for green deal,Owner occupied,"Park home wall, as built","Pitched, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, LPG",Poor,Good,LPG (not community),N,England and Wales: 1976-1982,G,E,4.9,3.0,82,3,3,,59,8650122478,Detached,E01014380,E02002996,51.37318,-2.332817,32636,607,514,23,63,2016-02-02,2016,2,10,1979,Bath and North East Somerset,"51.37318, -2.332817"
1199,1338515439022015070717360967438895,E06000022,Park home,assessment for green deal,Owner occupied,"Park home wall, as built","Flat, no insulation (assumed)",Very Poor,Very Poor,Electric storage heaters,Average,Very Poor,electricity (not community),N,England and Wales: 1976-1982,F,D,6.9,4.0,257,2,1,,27,9695327378,Detached,E01014380,E02002996,51.37322,-2.332043,32636,607,514,23,63,2015-07-07,2015,7,10,1979,Bath and North East Somerset,"51.37322, -2.332043"
1200,1408451529302016020217092846260828,E06000022,Park home,assessment for green deal,Owner occupied,"Park home wall, with external insulation","Pitched, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, oil",Average,Average,oil (not community),N,England and Wales: 1976-1982,F,E,6.4,4.7,111,3,3,,58,3350122478,Detached,E01014380,E02002996,51.37318,-2.332817,32636,607,514,23,63,2016-02-02,2016,2,10,1979,Bath and North East Somerset,"51.37318, -2.332817"
2552,1818767728032020081811473179078808,E06000022,Park home,RHI application,Owner occupied,"Park home wall, as built","Pitched, insulated (assumed)",Good,Good,"Boiler and radiators, LPG",Poor,Good,LPG (not community),N,England and Wales: 2007 onwards,E,E,2.1,2.0,48,3,3,,43,2859851778,Detached,E01014373,E02002994,51.41225,-2.317602,23644,661,447,110,104,2020-08-18,2020,8,8,2007,Bath and North East Somerset,"51.41225, -2.317602"
4575,1443883679942016072608230642469268,E06000022,Park home,ECO assessment,Owner occupied,"Park home wall, as built","Pitched, insulated (assumed)",Average,Average,"Boiler and radiators, LPG",Very Poor,Average,LPG (not community),N,England and Wales: 1996-2002,G,E,4.3,2.2,87,3,3,,49,2923174478,Detached,E01035209,E02003006,51.34306,-2.404843,19296,403,324,14,64,2016-07-26,2016,7,6,1999,Bath and North East Somerset,"51.34306, -2.404843"
260211,1248885423712014121619304699949038,E06000025,Park home,FiT application,Owner occupied,"Park home wall, as built","Pitched, 200 mm loft insulation",Average,Good,"Boiler and radiators, LPG",Poor,Good,LPG (not community),N,England and Wales: 1996-2002,D,C,1.5,0.8,37,3,3,,40,822390378,Detached,E01014864,E02003093,51.59432,-2.523647,21849,658,568,13,76,2014-12-16,2014,12,7,1999,South Gloucestershire,"51.59432, -2.523647"
4576,1413642892632016021710441290978602,E06000022,Park home,assessment for green deal,Owner occupied,"Park home wall, as built","Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, LPG",Poor,Good,LPG (not community),N,England and Wales: 1996-2002,E,D,3.3,2.4,46,3,3,,72,9200652478,Detached,E01035209,E02003006,51.34306,-2.404843,19296,403,324,14,64,2016-02-17,2016,2,6,1999,Bath and North East Somerset,"51.34306, -2.404843"
261452,e137047a7f6491c9bed554d173221ec5fc503fb15c507402410b65b24bca234e,E06000025,Park home,ECO assessment,Owner occupied,"Park home wall, with external insulation","Flat, limited insulation (assumed)",Very Good,Poor,"Boiler and radiators, mains gas",Good,Good,mains gas (not community),N,England and Wales: 1983-1990,D,C,3.2,2.5,43,4,4,0,75,10002361000,Detached,E01014954,E02003094,51.56675,-2.664041,23288,688,526,49,111,2022-03-10,2022,3,8,1986,South Gloucestershire,"51.56675, -2.664041"
261911,351665917032020031011232596968806,E06000025,Park home,none of the above,Owner occupied,"Park home wall, as built","Pitched, insulated (assumed)",Average,Average,"Boiler and radiators, LPG",Poor,Good,LPG (not community),N,England and Wales: 1996-2002,E,E,3.0,2.4,46,4,1,,65,1676856668,Detached,E01035218,E02003108,51.49656,-2.448569,20926,680,481,115,44,2020-03-10,2020,3,7,1999,South Gloucestershire,"51.49656, -2.448569"
264277,83f2f1f2ff341152f078cfa8c2e2a6a863e16a9a49cd9b26da57aa486b138d5b,E06000025,Park home,not sale or rental,Owner occupied,"Park home wall, with external insulation","Pitched, limited insulation (assumed)",Very Good,Poor,"Boiler and radiators, LPG",Poor,Good,LPG (not community),N,England and Wales: 1983-1990,E,E,3.7,3.3,42,4,4,0,89,10005410502,Detached,E01014994,E02003108,51.51805,-2.462788,15881,802,639,72,81,2024-03-26,2024,3,5,1986,South Gloucestershire,"51.51805, -2.462788"
52807,1417818259262016030119530542468736,E06000022,Park home,assessment for green deal,Owner occupied,"Park home wall, as built","Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, LPG",Poor,Good,LPG (not community),N,England and Wales: 1996-2002,E,D,2.4,1.7,50,3,3,,47,3404582478,Detached,E01014447,E02003004,51.406,-2.553236,16539,779,574,113,69,2016-03-01,2016,3,6,1999,Bath and North East Somerset,"51.406, -2.553236"
52805,1247610289602016021310353635069298,E06000022,Park home,assessment for green deal,Owner occupied,"Park home wall, with external insulation","Pitched, no insulation (assumed)",Very Poor,Very Poor,"Room heaters, electric",Very Poor,Poor,electricity (not community),N,England and Wales: 1976-1982,G,E,6.5,6.0,149,3,3,,44,611680378,Detached,E01014447,E02003004,51.406,-2.553236,16539,779,574,113,69,2016-02-13,2016,2,6,1979,Bath and North East Somerset,"51.406, -2.553236"
52808,1470848919922016081216373246328826,E06000022,Park home,none of the above,Owner occupied,"Park home wall, as built","Pitched, insulated (assumed)",Average,Average,"Boiler and radiators, LPG",Poor,Good,LPG (not community),N,England and Wales: 1996-2002,E,D,2.5,1.5,58,3,3,,43,2426166478,Detached,E01014447,E02003004,51.406,-2.553236,16539,779,574,113,69,2016-08-12,2016,8,6,1999,Bath and North East Somerset,"51.406, -2.553236"
201279,f6c6c6aa9713902b88736dfd188142ab5108fcd8d24ee93dab51f685ddb26511,E06000025,Park home,not sale or rental,Owner occupied,"Park home wall, as built","Pitched, limited insulation (assumed)",Poor,Poor,"Boiler and radiators, LPG",Very Poor,Average,LPG (not community),N,England and Wales: 1983-1990,G,E,5.3,2.6,74,3,3,0,72,10005654686,Detached,E01014861,E02003094,51.51564,-2.65255,14305,958,715,117,108,2024-02-19,2024,2,5,1986,South Gloucestershire,"51.51564, -2.65255"
